PLMN,Network
21910,Croatia-A1
37201,Haiti-Voila
37203,Haiti-Natcom
21601,Hungary-Telenor Hungary
21630,Hungary-T-Mobile
21670,Hungary-Vodafone
51089,Indonesia-3
51011,Indonesia-XL
51021,Indonesia-IM3
51008,Indonesia-AXIS
51001,Indonesia-Indosat Ooredoo
51010,Indonesia-Telkomsel
40435,India-Aircel
40417,India-AIRCEL
40425,India-AIRCEL
40428,India-AIRCEL
40429,India-AIRCEL
40407,India-IDEA
40491,India-AIRCEL
40554,India-AirTel
40553,India-AirTel
40552,India-AirTel
40551,India-AirTel
40556,India-AirTel
40416,India-Airtel
405810,India-AIRCEL
405811,India-AIRCEL
405800,India-AIRCEL
405809,India-AIRCEL
405805,India-AIRCEL
405803,India-AIRCEL
405801,India-AIRCEL
405804,India-AIRCEL
405812,India-AIRCEL
405806,India-AIRCEL
405808,India-AIRCEL
405802,India-AIRCEL
405807,India-AIRCEL
40492,India-AirTel
40490,India-AirTel
40498,India-AirTel
40494,India-AirTel
40496,India-AirTel
40497,India-AirTel
40495,India-AirTel
40493,India-AirTel
40402,India-AirTel
40442,India-Aircel
40410,India-AirTel
40424,India-IDEA
40446,India-Vodafone India
40403,India-AirTel
40427,India-Vodafone India
40422,India-IDEA
40443,India-Vodafone India
40430,India-Vodafone India
40468,India-DOLPHIN
40411,India-Vodafone India
40412,India-IDEA
40419,India-IDEA
40456,India-IDEA
40405,India-Vodafone India
40470,India-AirTel
40420,India-Vodafone India
40570,India-IDEA
40404,India-IDEA
40482,India-IDEA
405848,India-IDEA
405799,India-IDEA
405850,India-IDEA
40487,India-IDEA
405852,India-IDEA
40489,India-IDEA
405853,India-IDEA
405840,India-Jio
405854,India-Jio
405855,India-Jio
405856,India-Jio
405857,India-Jio
405858,India-Jio
405859,India-Jio
40445,India-Airtel
405861,India-Jio
40449,India-Airtel
405862,India-Jio
405863,India-Jio
405864,India-Jio
405865,India-Jio
405866,India-Jio
405867,India-Jio
405868,India-Jio
405869,India-Jio
405870,India-Jio
405871,India-Jio
405872,India-Jio
405873,India-Jio
405874,India-Jio
40469,India-DOLPHIN
40478,India-IDEA
40431,India-AirTel
40441,India-Aircel
40467,India-Reliance
40440,India-AirTel
40444,India-IDEA
40414,India-IDEA
405025,India-TATA DOCOMO
405034,India-TATA DOCOMO
405044,India-TATA DOCOMO
405035,India-TATA DOCOMO
405032,India-TATA DOCOMO
405038,India-TATA DOCOMO
405037,India-TATA DOCOMO
405045,India-TATA DOCOMO
405046,India-TATA DOCOMO
405047,India-TATA DOCOMO
405027,India-TATA DOCOMO
405029,India-TATA DOCOMO
405030,India-TATA DOCOMO
405031,India-TATA DOCOMO
405036,India-TATA DOCOMO
405039,India-TATA DOCOMO
405041,India-TATA DOCOMO
405042,India-TATA DOCOMO
405043,India-TATA DOCOMO
40474,India-cellone
27202,Ireland-3
27201,Ireland-Vodafone
27205,Ireland-3
27203,Ireland-Eir
43211,Iran-IR-TCI (Hamrah-e-Avval)
43235,Iran-MTN Irancell
43220,Iran-Rightel
41805,Iraq-Asia Cell
27411,Iceland-Nova
27401,Iceland-Síminn
27402,Iceland-Vodafone
27404,Iceland-Viking
42501,Israel-Partner
42502,Israel-Cellcom
42507,Israel-Hot Mobile
42503,Israel-Pelephone
22250,Italy-Iliad
90126,Worldwide-TIM@sea
22299,Italy-3 Italia
22210,Italy-Vodafone
22201,Italy-TIM
22288,Italy-Wind
338180,Jamaica-FLOW
338050,Bermuda-Digicel Bermuda
338050,Saint Lucia-Digicel
338050,Jamaica-Digicel
338050,Turks and Caicos Islands-Digicel
41601,Jordan-zain JO
41677,Jordan-Orange
41603,Jordan-Umniah
44010,Japan-NTT docomo
44020,Japan-SoftBank
44051,Japan-au
22102,Kosovo-IPKO
40177,Kazakhstan-Tele2.kz
40101,Kazakhstan-Beeline
40102,Kazakhstan-Kcell
63905,Kenya-yu
63903,Kenya-Airtel
63902,Kenya-Safaricom
63907,Kenya-Telkom
43701,Kyrgyzstan-Beeline
45604,Cambodia-qb
45601,Cambodia-Cellcard
45608,Cambodia-Metfone
54501,Kiribati-Kiribati - ATH
356110,Saint Kitts and Nevis-FLOW
45008,South Korea-olleh
45006,South Korea-LG U+
45005,South Korea-SKTelecom
41904,Kuwait-STC
41902,Kuwait-zain KW
41903,Kuwait-K.S.C Ooredoo
45703,Laos-Unitel
45702,Laos-ETL
45701,Laos-LaoTel
45708,Laos-Beeline
41501,Lebanon-Alfa
41503,Lebanon-Touch
60601,Libya-Madar
358110,Saint Lucia-FLOW
29505,Liechtenstein-FL1
29577,Liechtenstein-Alpmobil
29502,Liechtenstein-7acht
41301,Sri Lanka-Mobitel
41303,Sri Lanka-Etisalat
41302,Sri Lanka-Dialog
41308,Sri Lanka-Hutch
65102,Lesotho-Econet Telecom
65101,Lesotho-Vodacom
24603,Lithuania-Tele2
24602,Lithuania-BIT?
24601,Lithuania-Telia
27001,Luxembourg-POST
27077,Luxembourg-Tango
27099,Luxembourg-Orange
24702,Latvia-Tele2
24701,Latvia-LMT
45501,Macau (China)-CTM
45503,Macau (China)-3
45500,Macau (China)-SmarTone
60401,Morocco-IAM
60402,Morocco-INWI
60400,Morocco-Orange Morocco
21210,Monaco-Office des Telephones
25902,Moldova-Moldcell
25901,Moldova-Orange
64601,Madagascar-Airtel
64604,Madagascar-Telma
47201,Maldives-Dhiraagu
47202,Maldives-Ooredoo
334140,Mexico-Altan Redes
334050,Mexico-AT&T / Unefon
334030,Mexico-Movistar
334090,Mexico-AT&T
334020,Mexico-Telcel
29403,North Macedonia-vip
61002,Mali-Orange
27821,Malta-GO
90119,Worldwide-Vodafone Malta Maritime
27801,Malta-Vodafone
41405,Myanmar-Ooredoo
41401,Myanmar-MPT
41406,Myanmar-Telenor
29703,Montenegro-m:tel CG
29701,Montenegro-Telenor
42899,Mongolia-Mobicom
42888,Mongolia-Unitel
64301,Mozambique-mCel
64304,Mozambique-Vodacom
64303,Mozambique-Movitel
60901,Mauritania-Mattel
354860,Montserrat (UK)-FLOW
61701,Mauritius-my.t
61710,Mauritius-Emtel
61703,Mauritius-CHILI
65001,Malawi-TNM
65010,Malawi-Airtel
50212,Malaysia-Maxis
50219,Malaysia-Celcom
50218,Malaysia-U Mobile
50213,Malaysia-Celcom
50216,Malaysia-DiGi
64901,Namibia-MTC
64903,Namibia-TN Mobile
54601,New Caledonia (France)-Mobilis
61402,Niger-Airtel
61404,Niger-Orange
62160,Nigeria-9mobile
62120,Nigeria-Airtel
62150,Nigeria-Glo
62130,Nigeria-MTN
62140,Nigeria-Ntel
71021,Nicaragua-Claro
71073,Nicaragua-Claro
20420,Netherlands-T-Mobile
20404,Netherlands-Vodafone
20416,Netherlands-T-Mobile (BEN)
20408,Netherlands-KPN
90114,Worldwide-AeroMobile
90112,Worldwide-Telenor
24205,Norway-Telia
24208,Norway-Telia
24201,Norway-Telenor
42902,Nepal-Ncell
42901,Nepal-Namaste / NT Mobile / Sky Phone
53001,New Zealand-Vodafone
53024,New Zealand-2degrees
53005,New Zealand-Spark
42202,Oman-Omantel
42203,Oman-ooredoo
41001,Pakistan-Jazz
41006,Pakistan-Telenor
41003,Pakistan-Ufone
41007,Pakistan-Jazz
71403,Panama-Claro
71401,Panama-Cable & Wireless
71404,Panama-Digicel
714020,Panama-movistar
71606,Peru-Movistar
71610,Peru-Claro
71615,Peru-Bitel
51505,Philippines-Sun Cellular
51502,Philippines-Globe
51503,Philippines-SMART
53703,Papua New Guinea-Digicel
53701,Papua New Guinea-bmobile
26002,Poland-T-Mobile
26003,Poland-Orange
26001,Poland-Plus
26006,Poland-Play
330110,Puerto Rico-Claro Puerto Rico
26803,Portugal-NOS
26801,Portugal-Vodafone
26806,Portugal-MEO
74402,Paraguay-Claro
74405,Paraguay-Personal
74404,Paraguay-Tigo
74401,Paraguay-VOX
42505,Israel-Jawwal
42505,Palestine-Jawwal
42702,Qatar-Vodafone
42701,Qatar-ooredoo
22603,Romania-Telekom
22601,Romania-Vodafone
22610,Romania-Orange
25001,Russian Federation-MTS
25099,Russian Federation-Beeline
25035,Russian Federation-MOTIV
25002,Russian Federation-MegaFon
25020,Russian Federation-Tele2
63514,Rwanda-Airtel
63510,Rwanda-MTN
63513,Rwanda-Airtel
42001,Saudi Arabia-Al Jawal (STC )
42003,Saudi Arabia-Mobily
42006,Saudi Arabia-Lebara Mobile
42004,Saudi Arabia-Zain SA
63402,Sudan-MTN
60803,Senegal-Expresso
60802,Senegal-Tigo
52503,Singapore-M1
52502,Singapore-SingTel-G18
52508,Singapore-StarHub
52505,Singapore-StarHub
52501,Singapore-SingTel
61905,Sierra Leone-Africell
61901,Sierra Leone-Orange
70602,El Salvador-Digicel
70603,El Salvador-Tigo
70601,El Salvador-Claro
70604,El Salvador-movistar
63701,Somalia-Telesom
22005,Serbia-VIP
65902,South Sudan-MTN
65906,South Sudan-Zain
62601,Sao Tome and Principe-CSTmovel
63401,Sudan-Zain SD
74603,Suriname-Digicel
74602,Suriname-Telesur
23102,Slovakia-Telekom
23101,Slovakia-Orange
23106,Slovakia-O2
29341,Slovenia-Mobitel
29340,Slovenia-A1
24042,Sweden-Telenor Connexion AB
24008,Sweden-Telenor
24002,Sweden-3
24007,Sweden-Tele2
24001,Sweden-Telia
65310,Swaziland-Swazi MTN
63310,Seychelles-Airtel
63301,Seychelles-Cable & Wireless
41702,Syria-MTN
376350,Turks and Caicos Islands-FLOW
62201,Chad-Airtel
62203,Chad-Tigo
61501,Togo-Togo Cell
61503,Togo-Moov
52004,Thailand-TrueMove H
52099,Thailand-TrueMove
52000,Thailand-TrueMove H / my by CAT
52005,Thailand-dtac TriNet / LINE
52003,Thailand-AIS
52018,Thailand-dtac
43605,Tajikistan-ZET-Mobile
51403,East Timor-Telemor
53988,Tonga-Digicel
374130,Trinidad and Tobago-Digicel
60501,Tunisia-Orange
60503,Tunisia-OOREDOO TN
60502,Tunisia-Tunicell
28604,Turkey-Aycell
28603,Turkey-Türk Telekom
28601,Turkey-Turkcell
28602,Turkey-Vodafone
46601,Taiwan-FarEasTone
46692,Taiwan-Chunghwa
46697,Taiwan-Taiwan Mobile
46689,Taiwan-T Star
64005,Tanzania-Airtel
64002,Tanzania-tiGO
64004,Tanzania-Vodacom
64009,Tanzania-Halotel
64008,Tanzania-Smart
64003,Tanzania-Zantel
64101,Uganda-Airtel
64110,Uganda-MTN
64114,Uganda-Africell
64118,Uganda-Smart
64111,Uganda-Uganda Telecom
64122,Uganda-Airtel
25506,Ukraine-lifecell
25503,Ukraine-Kyivstar
25502,Ukraine-Kyivstar
25501,Ukraine-Vodafone
25507,Ukraine-3Mob; Lycamobile
74810,Uruguay-Claro
74807,Uruguay-Movistar
310420,United States of America-Cincinnati Bell
311320,United States of America-Choice Wireless
310410,United States of America-AT&T
310450,United States of America-Viaero
311040,United States of America-Choice Wireless
310690,United States of America-Limitless Mobile
311370,United States of America-GCI Wireless
310110,Northern Mariana Islands (USA)-IT&E Wireless
310110,United States of America-IT&E Wireless
311030,United States of America-Indigo Wireless
311170,United States of America-Tampnet
310120,United States of America-Sprint
311580,United States of America-U.S. Cellular
310020,United States of America-Union Wireless
311480,United States of America-Verizon
310260,United States of America-T-Mobile
43405,Uzbekistan-Ucell
43404,Uzbekistan-Beeline
360110,Saint Vincent and the Grenadines-FLOW
73404,Venezuela-movistar
348570,British Virgin Islands (UK)-CCT Boatphone
348170,British Virgin Islands (UK)-FLOW
348770,British Virgin Islands (UK)-Digicel
45201,Vietnam-MobiFone
45202,Vietnam-Vinaphone
45205,Vietnam-Vietnamobile
45204,Vietnam-Viettel Mobile
54105,Vanuatu-Digicel
54900,Samoa-Digicel
42101,Yemen-SabaFon
22001,Serbia-Telenor
65507,South Africa-Cell C
65502,South Africa-Telkom
65510,South Africa-MTN
65501,South Africa-Vodacom
64501,Zambia-Airtel
64503,Zambia-ZAMTEL
64804,Zimbabwe-Econet
64803,Zimbabwe-Telecel
90103,Worldwide-Iridium
90110,Worldwide-ACeS
90111,Worldwide-Inmarsat
90129,Worldwide-Telenor
50505,Australia-Ozitel
50509,Australia-Airnet
50515,Australia-3GIS
31059,Bermuda-Cellular One
72428,Brazil-No name
72499,Brazil-Local
302710,Canada-Globalstar
26215,Germany-Airdata
63203,Guinea-Bissau-Orange
41808,Iraq-SanaTel
22202,Italy-Elsacom
22204,Italy-Intermatica
22205,Italy-Telespazio
