PLMN,Network
20461,Netherlands-BodyTrace Netherlands B.V.
65530,South Africa-Bokamoso Consortium
65534,South Africa-Bokone Telecoms Pty Ltd
24039,Sweden-Borderlight AB
20821,France-Bouygues
20888,France-Bouygues
27007,Luxembourg-Bouygues Telecom S.A.
302270,Canada-EastLink
24809,Estonia-Bravo Telecom
20427,Netherlands-Breezz Nederland B.V.
312810,United States of America-BBCP
312540,United States of America-Broadband In Hand LLC
23400,United Kingdom-BT
23476,United Kingdom-BT
23577,United Kingdom-BT
21415,Spain-BT
22234,Italy-BT Italia
23408,United Kingdom-BT OnePhone
28403,Bulgaria-Vivacom
62012,Ghana-BTL
312570,United States of America-Blue Wireless
311330,United States of America-Bug Tussel Wireless
28411,Bulgaria-Bulsatcom
62014,Ghana-busy
43401,Uzbekistan-Buztel
348370,British Virgin Islands (UK)-BVI Cable TV Ltd
20215,Greece-BWS
310900,United States of America-Mid-Rivers Wireless
312450,United States of America-Cable & Communications Corporation
338110,Jamaica-FLOW
376352,Turks and Caicos Islands-FLOW
376360,Turks and Caicos Islands-FLOW
44012,"Japan-Cable media waiwai Co., Ltd."
22619,Romania-CFR
313310,"United States of America-CAL.NET, Inc."
26038,Poland-CALLFREEDOM Sp. z o.o.
313300,"United States of America-Cambio WiFi of Delmarva, LLC"
45603,Cambodia-qb
313020,United States of America-CTC Wireless
24709,Latvia-Xomobile
62403,Cameroon-Camtel
63405,Sudan-canar
62100,Nigeria-Capcom
65521,South Africa-Cape Town Metropolitan Council
20425,Netherlands-CapX B.V.
310130,United States of America-Carolina West Wireless
312470,United States of America-Carolina West Wireless
27216,Ireland-Carphone Warehouse
52002,Thailand-CAT CDMA
40003,Azerbaijan-FONEX
42518,Israel-Cellact Communications
61105,Guinea-Cellcom
20834,France-Cellhire France
73022,Chile-Cellplus SpA
310360,United States of America-Pioneer Cellular
312270,United States of America-Pioneer Cellular
312280,United States of America-Pioneer Cellular
311230,United States of America-C Spire Wireless
311630,United States of America-C Spire Wireless
708002,Honduras-Tigo
73011,Chile-Celupago S.A.
312260,United States of America-NewCore
25038,Russian Federation-Tambov GSM
313330,United States of America-CenturyTel Broadband Services LLC
23456,United Kingdom-CESG
42529,Israel-CG Networks
50523,Australia-Challenge Networks Pty Ltd
26242,Germany-CCC Event
311010,United States of America-Chariton Valley
312010,United States of America-Chariton Valley
312220,United States of America-Chariton Valley
40464,India-cellone
40484,India-Vodafone India
405028,India-TATA DOCOMO
40504,India-Reliance
46705,North Korea-Koryolink
46706,North Korea-Koryolink
45430,Hong Kong-China Data Enterprises Ltd
46008,China-China Mobile
41004,Pakistan-Zong
45413,Hong Kong-CMCC HK
45409,Hong Kong-China Motion Telecom
46003,China-China Telecom
46005,China-China Telecom
45502,Macau (China)-China Telecom
45507,Macau (China)-China Telecom
45431,Hong Kong-CTExcel
46020,China-China Tietong
46006,China-China Unicom
46009,China-China Unicom
45407,Hong Kong-China Unicom
45411,Hong Kong-China-Hong Kong Telecom
60902,Mauritania-Chinguitel
73015,Chile-Cibeles Telecom S.A.
73027,Chile-Cibeles Telecom S.A.
312890,United States of America-Circle Gx
312800,United States of America-Cirrus Core Networks
90116,Worldwide-Cisco Jasper
50540,Australia-CITIC Pacific Mining
45401,Hong Kong-CITIC Telecom 1616
315010,United States of America-CBRS
302670,Canada-CityTel Mobility
42603,Bahrain-Civil Aviation Authority
64140,Uganda-Civil Aviation Authority (CAA)
25006,Russian Federation-Skylink
72438,Brazil-Claro
73023,Chile-Claro Servicios Empresariales S. A.
26025,Poland-TeleCube.PL
312310,"United States of America-Clear Stream Communications, LLC"
312100,"United States of America-ClearSky Technologies, Inc."
50545,Australia-Clermont Coal Operations Pty Ltd
312140,United States of America-Revol Wireless
27209,Ireland-Clever Communications Ltd.
502155,Malaysia-Clixster
23418,Isle of Man (UK)-Cloud 9 Mobile
23418,United Kingdom-Cloud9
24037,Sweden-CLX Networks AB
50533,Australia-CLX Networks Pty Ltd
302150,Canada-Cogeco Connexion Inc.
311790,"United States of America-Coleman County Telephone Cooperative, Inc."
732103,Colombia-Tigo
732165,Colombia-Colombia Móvil S.A. ESP
732001,Colombia-movistar
23405,United Kingdom-COLT Mobile Telecommunications Limited
24209,Norway-Com4
22805,Switzerland-Comfone AG
22809,Switzerland-Comfone AG
24011,Sweden-ComHem AB
60703,Gambia-Comium
61904,Sierra Leone-Comium
61204,Ivory Coast-KoZ
312370,United States of America-Choice Wireless
311550,United States of America-Choice Wireless
50561,Australia-CommTel NS
90148,Worldwide-Com4
24009,Sweden-Com4
45504,Macau (China)-CTM
74403,Paraguay-Compañia Privada de Comunicaciones S.A.
73017,Chile-COMPATEL Chile Limitada
732004,Colombia-COMPATEL COLOMBIA SAS
50530,Australia-Compatel Limited
28409,Bulgaria-COMPATEL LIMITED
23813,Denmark-Compatel Limited
20213,Greece-Compatel Limited
26032,Poland-Compatel Limited
21430,Spain-Compatel Limited
24032,Sweden-Compatel Limited
24426,Finland-Compatel
29320,Slovenia-COMPATEL Ltd
24607,Lithuania-Compatel Ltd.
22861,Switzerland-Compatel Ltd.
23008,Czech Republic-Compatel s.r.o.
26811,"Portugal-Compatel, Limited"
334001,"Mexico-Comunicaciones Digitales Del Norte, S.A. de C.V."
310060,United States of America-Consolidated Telcom
312440,United States of America-Consolidated Telcom
21428,Spain-Murcia4G
22253,Italy-COOP Voce
74406,Paraguay-Copaco
310930,United States of America-Copper Valley Wireless
312380,United States of America-Copper Valley Wireless
61201,Ivory Coast-Cora de Comstar
311240,United States of America-Cordova Wireless
26275,Germany-Core Network Dynamics GmbH
20827,France-Coriolis Telecom
73401,Venezuela-Digitel
73402,Venezuela-Digitel GSM
72417,Brazil-Correios
20206,Greece-Cosmoline
20202,Greece-Cosmote
313060,United States of America-Country Wireless
312060,United States of America-CoverageCo
311140,United States of America-Bravado Wireless
310700,United States of America-Bigfoot Cellular
312030,United States of America-Bravado Wireless
313010,United States of America-Bravado Wireless
25008,Russian Federation-Vainah Telecom
36263,Former Netherlands Antilles-CSC N.V.
24805,Estonia-CSC Telecom Estonia OÜ
45402,Hong Kong-CSL Limited
45418,Hong Kong-CSL Limited
60804,Senegal-CSU-SA
26606,Gibraltar (UK)-CTS Mobile
23818,Denmark-Cubic Telecom
29506,Liechtenstein-Cubic Telecom
20829,France-Cubic télécom France
27218,Ireland-Cubic Telecom Limited
36268,Former Netherlands Antilles-Digicel
312040,United States of America-Custer Telephone Co-op (CTCI)
312950,United States of America-Custer Telephone Co-op (CTCI)
313220,United States of America-Custer Telephone Co-op (CTCI)
26012,Poland-Cyfrowy Polsat
28002,Cyprus-Cytamobile-Vodafone
310780,United States of America-Dispatch Direct
43212,Iran-Avacell(HiWEB)
23805,Denmark-TetraNet
23809,Denmark-SINE
23811,Denmark-SINE
22106,Kosovo-Z Mobile
302100,Canada-dotmobile
28212,Georgia-Datacomm Ltd
24611,Lithuania-DATASIM OU
61940,Sierra Leone-Datatel (SL) Ltd.
61950,Sierra Leone-Datatel (SL) Ltd.
72418,Brazil-datora
34008,French Antilles (France)-Dauphin
26210,Germany-DB Netz AG
26260,Germany-DB Telematik
90142,Worldwide-DCN Hub ehf
405909,India-IDEA
40505,India-Reliance
405844,India-Uninor
405913,India-Etisalat DB(cheers)
35011,Bermuda-Deltronics
64905,Namibia-Demshi Investments CC
20625,Belgium-Dense Air Belgium SPRL
20833,France-Département des Pyrénées-Atlantiques
50504,Australia-Department of Defence
90140,Worldwide-1nce GmbH
90153,Worldwide-Deutsche Telekom AG
41311,Sri Lanka-Dialog
50526,Australia-Dialogue Communications Pty. Ltd.
22236,Italy-Digi Mobil
21603,Hungary-DIGI
365010,Anguilla (UK)-Digicel
342750,Barbados-Digicel
53602,Nauru-Digicel
360050,Saint Vincent and the Grenadines-Digicel
376351,Turks and Caicos Islands-Digicel
346050,Cayman Islands (UK)-Digicel
352030,Grenada-Digicel
366020,Dominica-Digicel
74604,Suriname-Digicel
54901,Samoa-Digicel
52023,Thailand-AIS GSM 1800
29511,Liechtenstein-DIMOCO Messaging AG
732176,Colombia-DirecTV Colombia Ltda
313340,United States of America-Dish Network
313350,United States of America-Dish Network
313360,United States of America-Dish Network
24404,Finland-DNA
24413,Finland-DNA
25010,Russian Federation-DTC
64006,Tanzania-Sasatel (Dovetel)
26223,Germany-Drillisch Online AG
302390,Canada-DMTS
23109,"Slovakia-DSI DATA, a.s."
22107,Kosovo-D3 Mobile
27081,Luxembourg-E-Lux Mobile Telecommunication S.A.
26008,Poland-E-Telko Sp. z o.o.
36295,Former Netherlands Antilles-MIO
313030,United States of America-Snake River PCS
36254,Former Netherlands Antilles-ECC
310750,United States of America-Appalachian Wireless
312120,United States of America-Appalachian Wireless
312130,United States of America-Appalachian Wireless
312910,United States of America-Appalachian Wireless
26609,Gibraltar (UK)-Shine
90150,Worldwide-EchoStar Mobile
64201,Burundi-econet Leo
64282,Burundi-econet Leo
732002,Colombia-Edatel
20850,France-EDF
311760,United States of America-Edigen Inc.
23431,United Kingdom-T-Mobile UK
23432,United Kingdom-T-Mobile UK
23434,United Kingdom-Orange
23486,United Kingdom-EE
23501,United Kingdom-EE
23502,United Kingdom-EE
73805,"Guyana-eGovernment Unit, Ministry of the Presidency"
27207,Ireland-Eir
27208,Ireland-Eir
50220,Malaysia-Electcoms
311460,United States of America-Electric Imp Inc.
20405,Netherlands-Elephant Talk Communications Premium Rate Services
20615,Belgium-Elephant Talk Communications Schweiz GmbH
24406,Finland-Elisa
24421,Finland-Elisa- Saunalahti
310610,United States of America-Epic PCS
312410,"United States of America-Eltopia Communications, LLC"
90143,Worldwide-EMnify GmbH
29509,Liechtenstein-EMnify GmbH
732187,Colombia-eTb
708030,Honduras-Hondutel
73018,Chile-Empresas Bunker S.A.
732099,Colombia-EMCALI
311950,United States of America-ETC
22611,Romania-Enigma-System
71607,Peru-Entel
71617,Peru-Entel
73602,Bolivia-Entel
73010,Chile-entel
24215,Norway-eRate Norway AS
302990,Canada-Ericsson Canada
23840,Denmark-Ericsson Danmark A/S
26272,Germany-Ericsson GmbH
20633,Belgium-Ericsson NV
65550,South Africa-Ericsson South Africa (Pty) Ltd
65701,Eritrea-Eritel
43201,Iran-Uname
43240,Iran-Mobinnet
24814,Estonia-Estonian Crafts OÜ
310035,United States of America-ETEX Wireless
20826,France-NRJ Mobile
90156,Worldwide-ETSI
24022,Sweden-EuTel AB
36231,Former Netherlands Antilles-Eutel N.V.
25904,Moldova-Eventis
45206,Vietnam-EVNTelecom
310990,United States of America-Evolve Broadband
302340,Canada-Execulink
24422,Finland-EXFO Oy
24423,Finland-EXFO Oy
313260,United States of America-Expeto Wireless Inc.
26021,Poland-Exteri
26041,Poland-EZ PHONE MOBILE Sp. z o.o.
46602,Taiwan-FarEasTone
46603,Taiwan-FarEasTone
46606,Taiwan-FarEasTone
46607,Taiwan-FarEasTone
46688,Taiwan-FarEasTone
310311,United States of America-Farmers Wireless
43293,Iran-Farzanegan Pars
22208,Italy-Fastweb
24063,Sweden-FTS
22863,Switzerland-FTS
63906,Kenya-Finserve Africa Limited
46656,Taiwan-FITEL
29507,Liechtenstein-First Mobile AG
302350,Canada-FIRST
26241,Germany-First Telecom GmbH
35015,Bermuda-FKB Net Ltd.
312900,United States of America-ClearTalk
311750,United States of America-ClearTalk
312860,United States of America-ClearTalk
23417,United Kingdom-FleXtel Limited
313520,"United States of America-Florida Broadband, Inc."
23404,United Kingdom-FMS Solutions Ltd
20889,France-Fondation b-com
21420,Spain-Fonyou
24225,Norway-Forsvarets kompetansesenter KKIS
24425,Finland-Fortum Power and Heat Oy
41422,"Myanmar-Fortune Telecom Co., Ltd"
34009,French Antilles (France)-Free
42512,Israel-x2one
55001,Federated States of Micronesia-FSMTC
312390,United States of America-FTC Wireless
312050,United States of America-Fuego Wireless
313240,United States of America-Peak Internet
42898,Mongolia-G-Mobile
26813,"Portugal-G9Telecom, S.A."
73403,Venezuela-DirecTV
42517,Israel-Sipme
60701,Gambia-Gamcel
23439,United Kingdom-Gamma Telecom Holdings Ltd.
60705,Gambia-Gamtel-Ecowan
310430,United States of America-GCI
90128,Worldwide-Vodafone
65903,South Sudan-Gemtel
24018,Sweden-Generic Mobile Systems Sweden AB
62701,Equatorial Guinea-Orange GQ
26603,Gibraltar (UK)-Gibfibrespeed
311900,United States of America-GigSky
312870,"United States of America-GigSky Mobile, LLC"
312790,United States of America-Gila Electronics
61605,Benin-Glo
46610,Taiwan-G1
46004,China-China Mobile
41423,"Myanmar-Global Technology Co., Ltd"
28207,Georgia-GlobalCell
42504,Israel-Globalsim Ltd
310970,United States of America-Globalstar
45001,South Korea-Globalstar Asia Pacific
20805,France-Globalstar Europe
20806,France-Globalstar Europe
20807,France-Globalstar Europe
30802,Saint Pierre and Miquelon (France)-GLOBALTEL
22011,Serbia-GLOBALTEL
51501,Philippines-Islacom
90135,Worldwide-Globecomm Network Services
311890,United States of America-Globecomm Network Services Corporation
24027,Sweden-GlobeTouch AB
312620,United States of America-GlobeTouch Inc.
90163,Worldwide-GloTel B.V.
28209,Georgia-Gmobile
42508,Israel-Golan Telecom
62013,Ghana-Goldkey
63730,Somalia-Golis
24017,Sweden-Gotanet
23817,Denmark-Gotanet AB
26030,Poland-GrandTel
312710,United States of America-Great North Woods Wireless LLC
312550,"United States of America-Great Plains Communications, Inc."
311680,United States of America-GreenFly LLC
23842,Denmark-Greenwave Mobile IoT ApS
52512,Singapore-Grid
50542,Australia-GEMCO
26214,Germany-Group 3G UMTS
26271,Germany-GSMK
45207,Vietnam-Gmobile
25023,Russian Federation-Thuraya
34010,French Antilles (France)-Guadeloupe Téléphone Mobile
310033,Guam (USA)-Guam Telephone Authority
310033,United States of America-Guam Telephone Authority
23403,Guernsey (UK)-Airtel-Vodafone
63201,Guinea-Bissau-Guinetel
63207,Guinea-Bissau-Guinetel
40457,India-cellone
40506,India-Reliance
405827,India-Videocon Datacom
405914,India-Etisalat DB(cheers)
405927,India-Uninor
313290,United States of America-Gulf Coast Broadband LLC
64605,Madagascar-BIP / blueline
738002,Guyana-GT&T Cellink Plus
34011,French Antilles (France)-Guyane Téléphone Mobile
732210,Colombia-Hablame Colombia SAS ESP
27405,Iceland-Halló Frjáls fjarskipti hf.
302991,Canada-Halton Regional Police Service
20894,France-Halys
23472,United Kingdom-Hanhaa Mobile
44002,"Japan-Hanshin Cable Engineering Co., Ltd."
40401,India-Vodafone India
40434,India-cellone
40507,India-Reliance
405910,India-IDEA
60606,Libya-Hatef Libya
20819,France-Haute-Garonne numérique
23414,United Kingdom-Hay Systems Ltd
312930,"United States of America-Hewlett-Packard Communication Services, LLC"
310540,United States of America-Phoenix
40418,India-Reliance
40451,India-cellone
40508,India-Reliance
405754,India-Vodafone India
23110,"Slovakia-HMZ RÁDIOKOMUNIKÁCIE, spol. s r.o."
42515,Israel-Home Cellular
23471,United Kingdom-Home Office
63909,Kenya-Homeland Media Group Limited
45432,Hong Kong-Hong Kong Broadband Network Ltd
45425,Hong Kong-Hong Kong Government
45426,Hong Kong-Hong Kong Government
63750,Somalia-Hormuud
63767,Somalia-Horntel Group
313420,United States of America-Hudson Valley Wireless
27217,Ireland-3
23594,United Kingdom-Hutchison 3G UK Ltd
23210,Austria-3
23214,Austria-Hutchison Drei Austria
23216,Austria-Hutchison Drei Austria
23219,Austria-Hutchison Drei Austria
45405,Hong Kong-3 (CDMA)
45414,Hong Kong-Hutchison Telecom
722350,Argentina-PORT-HABLE
41309,Sri Lanka-Hutch
45505,Macau (China)-3
65528,South Africa-Hymax Talking Solutions (Pty) Ltd
64166,Uganda-i-Tel
62017,Ghana-iBurst Africa
24214,Norway-ice
23815,Denmark-Net 1
24206,Norway-ice
302620,Canada-ICE Wireless
27407,Iceland-IceCell
27408,Iceland-On-waves
27431,Iceland-Síminn
23423,United Kingdom-Icron Network Limited
22615,Romania-Idilis
50522,Australia-iiNet Ltd
20816,France-Free Mobile
65532,South Africa-Ilizwi Telecommunications
311340,United States of America-Illinois Valley Cellular
20890,France-Images & Réseaux
313250,United States of America-Imperial County Office of Education
22807,Switzerland-IN&Phone
21414,Spain-Incotel Servicioz Avanzados SL
25019,Russian Federation-INDIGO
43612,Tajikistan-Tcell
43602,Tajikistan-Tcell
45208,Vietnam-I-Telecom
24023,Sweden-Infobip Limited (UK)
20602,Belgium-Infrabel
26812,"Portugal-Infraestruturas de Portugal, S.A."
312020,"United States of America-Infrastructure Networks, LLC"
21435,"Spain-INGENIUM OUTSOURCING SERVICES, S.L."
310580,United States of America-Inland Cellular Telephone Company
26219,Germany-Inquam Deutschland
71202,Costa Rica-Kölbi ICE
65551,South Africa-Integrat (Pty) Ltd
70605,El Salvador-RED
20216,Greece-Inter Telecom
23830,Denmark-Interactive digital media GmbH
24609,Lithuania-Interactive Digital Media GmbH
27078,Luxembourg-Interactive digital media GmbH
26040,Poland-Interactive Digital Media GmbH
24036,Sweden-interactive digital media GmbH
62122,Nigeria-InterC
61103,Guinea-Telecel Guinee
20417,Netherlands-Intercity Zakelijk
20211,Greece-interConnect
25500,Moldova-IDC
25915,Moldova-IDC
26029,Poland-Interfonica
61909,Sierra Leone-Smart Mobile
90120,Worldwide-Intermatica
70268,Belize-INTELCO
23406,United Kingdom-Internet Computer Bureau Limited
44003,Japan-IIJmio
25061,Russian Federation-Intertelecom
25504,Ukraine-Intertelecom
25523,Ukraine-CDMA Ukraine
29002,Greenland-Nuuk TV
73020,Chile-Inversiones Santa Fe Limitada
21604,Hungary-Invitech ICT Services Ltd.
312970,United States of America-IOSAZ Intellectual Property LLC
311410,United States of America-Chat Mobility
312170,United States of America-Chat Mobility
310770,United States of America-iWireless
310530,United States of America-iWireless
27412,Iceland-Tal
20650,Belgium-IP Nexia
43293,Iran-Iraphone
43290,Iran-Iraphone
25029,Russian Federation-Iridium
302600,Canada-Iristel
310300,United States of America-Big Sky Mobile
42525,Israel-IMOD
26024,Poland-IT Partners Telco Sp. z o.o.
310032,Guam (USA)-IT&E Wireless
310032,United States of America-IT&E Wireless
43711,Kyrgyzstan-iTel
41862,Iraq-Itisaluna
60406,Morocco-IAM
42513,Israel-Ituran Cellular Communications
24708,Latvia-IZZI
310920,"United States of America-James Valley Wireless, LLC"
63910,Kenya-Faiba 4G
40437,India-Aircel
40462,India-cellone
405033,India-TATA DOCOMO
40509,India-Reliance
40555,India-Airtel
405750,India-Vodafone India
405846,India-IDEA
405860,India-Jio
44004,"Japan-Japan Radio Company, Ltd."
310650,United States of America-Jasper
24220,Norway-Jernbaneverket AS
24221,Norway-Jernbaneverket AS
23403,Jersey (UK)-Airtel-Vodafone
23403,United Kingdom-Airtel-Vodafone
20640,Belgium-JOIN
25021,Russian Federation-GlobalTel
28206,Georgia-JSC Compatel
23435,United Kingdom-JSC Ingenium (UK) Limited
25508,Ukraine-JSC Ukrtelecom
25017,Russian Federation-Utel
90117,Worldwide-Navitas
43601,Tajikistan-Tcell
25032,Russian Federation-Win Mobile
64144,Uganda-K2
310870,United States of America-PACE
28304,Armenia-Karabakh Telecom
65531,South Africa-Karabo Telecoms (Pty) Ltd.
40486,India-Vodafone India
40510,India-Reliance
405820,India-Uninor
405847,India-IDEA
40471,India-cellone
62004,Ghana-Expresso
312740,United States of America-Locus Telecommunications
44050,Japan-au
44052,Japan-au
44053,Japan-au
44054,Japan-au
44070,Japan-au
44071,Japan-au
44072,Japan-au
44073,Japan-au
44074,Japan-au
44075,Japan-au
44076,Japan-au
302380,Canada-Keewaytinook Mobile
302530,Canada-Keewaytinook Mobile
40472,India-cellone
40511,India-Reliance
405821,India-Uninor
405917,India-Etisalat DB(cheers)
312460,United States of America-Ketchikan Public Utilities (KPU)
25009,Russian Federation-Skylink
313280,"United States of America-King Street Wireless, LP"
65535,South Africa-Kingdom Communications Pty Ltd
312830,United States of America-Kings County Office of Education
40481,India-cellone
40483,India-Reliance
40512,India-Reliance
405822,India-Uninor
20467,Netherlands-Koning en Hartman B.V.
45011,South Korea-Tplus
467193,North Korea-SunNet
20410,Netherlands-KPN
20412,Netherlands-Telfort
20469,Netherlands-KPN Mobile The Netherlands B.V.
25034,Russian Federation-Krymtelekom
45002,South Korea-KT
45004,South Korea-KT
45007,South Korea-KT
25060,Russian Federation-Volna mobile
25013,Russian Federation-KUGSM
61401,Niger-SahelCom
20428,Netherlands-Lancelot B.V.
27422,Iceland-Landhelgisgæslan (Icelandic Coast Guard)
41304,Sri Lanka-Lanka Bell
374140,Trinidad and Tobago-Laqtel
42526,Israel-Annatel
46611,Taiwan-Chunghwa LDM
311310,United States of America-NMobile
62015,Ghana-Lebara
90169,Worldwide-Legos
28022,Cyprus-lemontel
61820,Liberia-LIBTELCO
52509,Singapore-Circles.Life
732220,Colombia-Libre Tecnologias SAS
60603,Libya-Libya Phone
60600,Libya-Libyana
24605,Lithuania-LitRail
24608,Lithuania-MEZON
27211,Ireland-Tesco Mobile
311510,United States of America-Ligado Networks
302570,Canada-LightSquared
311130,United States of America-Lightsquared L.P.
311160,United States of America-Lightsquared L.P.
311520,United States of America-Lightsquared L.P.
311980,United States of America-LigTel Communications
24417,Finland-Liikennevirasto
338020,Jamaica-FLOW
90166,Worldwide-Limitless Mobile LLC
312180,United States of America-Limitless Mobile LLC
23453,United Kingdom-Limitless Mobile Ltd
23459,United Kingdom-Limitless Mobile Ltd
310340,United States of America-Limitless Mobile
311600,United States of America-Limitless Mobile
23828,Denmark-LINK Mobile A/S
24028,Sweden-LINK Mobile A/S
22238,Italy-LINKEM
61902,Sierra Leone-Africell
61903,Sierra Leone-Africell
21426,"Spain-Lleida Networks Serveis Telemátics, SL"
732003,Colombia-LLEIDA S.A.S.
20817,France-LEGOS
23421,United Kingdom-LogicStar Ltd
732240,Colombia-Logistica Flash Colombia SAS
61801,Liberia-Lonestar Cell MTN
24604,Lithuania-LR vidaus reikal? ministerija (Ministry of the Interior)
44007,"Japan-LTE-X, Inc."
24223,Norway-Lycamobile
20825,France-LycaMobile
26243,Germany-Lycamobile
27213,Ireland-Lycamobile
22235,Italy-Lycamobile
26804,Portugal-LycaMobile
65553,South Africa-Lycamobile
22854,Switzerland-Lycamobile
23208,Austria-Lycamobile
23812,Denmark-Lycamobile
45423,Hong Kong-Lycamobile
29404,North Macedonia-Lycamobile
20409,Netherlands-Lycamobile
64126,Uganda-Lycamobile
50519,Australia-Lycamobile
22616,Romania-Lycamobile
21425,Spain-Lycamobile
26009,Poland-Lycamobile
20606,Belgium-Lycamobile
24012,Sweden-Lycamobile
23426,United Kingdom-Lycamobile
311960,United States of America-Lycamobile
310760,United States of America-Lynch 3G Communications Corporation
302560,Canada-Lynx Mobility
312960,"United States of America-M&A Technology, Inc."
52511,Singapore-M1
35002,Bermuda-Mobility
40514,India-Reliance
405834,India-Videocon Datacom
40458,India-cellone
405756,India-Vodafone India
90168,Worldwide-Maersk Line A/S
28202,Georgia-Magti
28203,Georgia-MagtiFix
21699,Hungary-MAV GSM-R
61702,Mauritius-MOKOZE / AZU
405911,India-IDEA
405929,India-Uninor
40466,India-cellone
40513,India-Reliance
311720,United States of America-MainePCS LLC
29401,North Macedonia-Telekom.mk
61001,Mali-Malitel
313050,United States of America-Breakaway Wireless
90152,Worldwide-Manx Telecom Trading Ltd.
54710,French Polynesia (France)-Mara Telecom
42509,Israel-We4G
23428,Jersey (UK)-Marathon Telecom Limited
23428,United Kingdom-Marathon Telecom Limited
312980,United States of America-Mark Twain Communications Company
55101,Marshall Islands-Marshall Islands National Telecommunications Authority (MINTA)
34012,French Antilles (France)-Martinique Téléphone Mobile
44009,Japan-Marubeni Wireless Communications Inc.
22256,Italy-Unknown
23217,Austria-MASS Response Service GmbH
310040,United States of America-MTA
312340,United States of America-MTA
60910,Mauritania-Mauritel
334110,"Mexico-Maxcom Telecomunicaciones, S.A.B. de C.V."
50217,Malaysia-Maxis
50210,"Malaysia-Maxis, DiGi, Celcom, XOX"
302701,Canada-MB Tel Mobility
90122,Worldwide-MediaLincc Ltd
63302,Seychelles-Mediatech
90132,Worldwide-Sky High
25014,Russian Federation-MegaFon
27877,Malta-Melita
24029,Sweden-Mercury International Carrier Services
313200,United States of America-Mercury Network Corporation
90159,Worldwide-MessageBird B.V.
26049,Poland-Messagebird B.V.
24061,Sweden-MessageBird B.V.
50535,Australia-MessageBird Pty Ltd
311660,United States of America-Metro
25016,Russian Federation-Miatel
312400,United States of America-Mid-Rivers Wireless
311000,United States of America-West Central Wireless
311700,United States of America-Midwest Network Solutions Hub LLC
313070,United States of America-Midwest Network Solutions Hub LLC
313550,United States of America-Mile High Networks LLC
70402,Guatemala-Tigo
20422,Netherlands-Ministerie van Defensie
42705,Qatar-Ministry of Interior
42706,Qatar-Ministry of Interior
311020,United States of America-Chariton Valley
311920,United States of America-Chariton Valley
27079,Luxembourg-Mitto AG
22857,Switzerland-Mitto AG
20419,Netherlands-Mixe Communication Solutions B.V.
313460,"United States of America-Mobi, Inc."
29411,North Macedonia-MOBIK TELEKOMUNIKACII DOOEL Skopje
26213,Germany-Mobilcom Multimedia
24033,Sweden-Mobile Arts AB
27830,Malta-GO
24224,Norway-Mobile Norway AS
63904,Kenya-Mobile Pay Kenya Limited
43219,Iran-Espadan (JV-PJS)
28211,Georgia-Mobilive
20803,France-MobiquiThings
20824,France-MobiquiThings
46693,Taiwan-MobiTai
61925,Sierra Leone-Mobitel
41845,Iraq-Mobitel
23843,Denmark-MobiWeb Limited
24043,Sweden-MobiWeb Ltd.
26042,Poland-MobiWeb Telecom Limited
25903,Moldova-Unité
25905,Moldova-Unité
25999,Moldova-Unité
23814,Denmark-Monty UK Global Limited
24025,Sweden-Monty UK Global Ltd
312580,"United States of America-Morgan, Lewis & Bockius LLP"
311500,United States of America-Mosaic Telecom
26013,Poland-Move Telecom S.A.
63104,Angola-MOVICEL
302702,Canada-MT&T Mobility (Aliant)
23220,Austria-m:tel
62910,Congo-Libertis Telecom
65512,South Africa-MTN
64502,Zambia-MTN
90161,Worldwide-MTN Management Services
64906,Namibia-MTN Namibia
63403,Sudan-MTN
43801,Turkmenistan-MTS
90139,Worldwide-MTX Connect Ltd
27002,Luxembourg-MTX Connect S.a.r.l.
90201,Worldwide-MulteFire Allicance
45424,Hong Kong-Multibyte Info Technology Ltd
26221,Germany-Multiconnect GmbH
73005,Chile-Multikom S.A.
90138,Worldwide-Multiregional TransitTelecom (MTT)
40421,India-Loop Mobile
40515,India-Reliance
23009,Czech Republic-Vectone Mobile
20831,France-Vectone Mobile
26036,Poland-Vectone Mobile
23807,Denmark-Vectone Mobile
20406,Netherlands-Vectone Mobile
26807,Portugal-Vectone Mobile
24019,Sweden-Vectone Mobile
23215,Austria-Vectone Mobile
20607,Belgium-Vectone Mobile
28023,Cyprus-Vectone Mobile
22009,Serbia-Vectone Mobile
22859,Switzerland-Vectone
23401,United Kingdom-Vectone Mobile
24430,Finland-Vectone Mobile
21602,Hungary-MVM Net Ltd.
41403,Myanmar-CDMA800
41409,Myanmar-Mytel
41400,Myanmar-MPT
41402,Myanmar-MPT
41404,Myanmar-MPT
64012,Tanzania-MyCell Limited
40006,Azerbaijan-Naxtel
26292,Germany-Nash Technologies
50562,Australia-NBN
50568,Australia-NBN
62009,Ghana-NITA
62005,Ghana-National Security
63710,Somalia-Nationlink
63760,Somalia-Nationlink
63409,Sudan-khartoum INC
312330,United States of America-Nemont
65513,South Africa-Neotel
65514,South Africa-Neotel
310290,United States of America-nep
27221,Ireland-Net Feasa Limited
64801,Zimbabwe-Net*One
24024,Sweden-Sweden 2G
62011,Ghana-Netafrique Dot Com Ltd
26218,Germany-NetCologne
24003,Sweden-Net 1
312630,"United States of America-NetGenuity, Inc."
20608,Belgium-Nethys
26007,Poland-Netia
73014,Chile-Netline Telefónica Móvil Ltda
